id,name,category,type,price,calorie,salt
1,彩りガーデンサラダ,sidedish,salad,300,130,1.1
2,小エビのサラダ,sidedish,salad,350,115,1.3
3,やわらかチキンのサラダ,sidedish,salad,300,134,1.2
4,わかめサラダ,sidedish,salad,300,92,2.1
5,イタリアンサラダ,sidedish,salad,300,196,0.7
6,シーフードサラダ,sidedish,salad,600,229,2.4
7,半熟卵とポークのサラダ,sidedish,salad,600,433,2.3
8,コーンクリームスープ,sidedish,soup,150,142,1.1
9,冷たいパンプキンスープ(季節限定),sidedish,soup,150,105,0.9
10,たっぷり野菜のミネストローネ(季節限定),sidedish,soup,300,222,2.1
11,削りたてペコリーノチーズ,sidedish,appetizer,100,59,0.6
12,ミニフィセル,sidedish,appetizer,170,188,1
13,ガーリックトースト,sidedish,appetizer,190,252,1.1
14,セットドリンクバー,drink,drinkbar,190,0,0
15,辛味チキン,sidedish,appetizer,300,374,2.2
16,アスパラガスのオーブン焼き(季節限定),sidedish,appetizer,300,221,1.1
17,ポップコーンシュリンプ,sidedish,appetizer,300,215,1.4
18,エスカルゴのオーブン焼き,sidedish,appetizer,400,256,1.6
19,ムール貝のガーリック焼き,sidedish,appetizer,400,164,1.3
20,野菜ソースのグリルソーセージ,sidedish,appetizer,400,570,3.1
21,チョリソー,sidedish,appetizer,400,393,2
22,柔らか青豆の温サラダ,sidedish,appetizer,200,213,1.1
23,ほうれん草のソテー,sidedish,appetizer,200,138,1.2
24,キャベツとアンチョビのソテー,sidedish,appetizer,200,80,1.5
25,ポテトのグリル,sidedish,appetizer,200,366,2
26,セロリのピクルス(季節限定),sidedish,appetizer,200,52,1.3
27,真イカのパプリカソース,sidedish,appetizer,200,138,1.1
28,フォッカチオ,sidedish,appetizer,120,214,0.8
29,プチフォッカ,sidedish,appetizer,140,214,0.8
30,セットプチフォッカ,sidedish,appetizer,80,107,0.4
31,グラスワイン,drink,alcohol,100,0,0
32,デカンタ・250ml,drink,alcohol,200,0,0
33,デカンタ・500ml,drink,alcohol,400,0,0
34,キリン一番搾り（ジョッキ）,drink,alcohol,400,0,0
35,キリン一番搾り（グラス）,drink,alcohol,300,0,0
36,ストロングゼロダブルレモン,drink,alcohol,380,0,0
37,マグナム・1500ml,drink,alcohol,1080,0,0
38,グラッパ,drink,alcohol,380,0,0
39,ランブルスコセッコ（赤）辛口,drink,alcohol,1080,0,0
40,ランブルスコ（ロゼ）甘口,drink,alcohol,1080,0,0
41,ベルデッキオ（辛口・中）,drink,alcohol,1080,0,0
42,キャンティ（辛口・やや重い）,drink,alcohol,1080,0,0
43,キャンティルフィナリゼルパ（辛口・重い）,drink,alcohol,2160,0,0
44,サイゼリヤプレミアム（辛口・重い）,drink,alcohol,2160,0,0
45,サントリーオールフリー,drink,alcohol,260,0,0
46,フレッシュチーズとトマトのサラダ,sidedish,appetizer,300,203,0.4
47,フレッシュチーズとトマトのサラダ(Wサイズ),sidedish,appetizer,599,406,0.8
48,プロシュート,sidedish,appetizer,400,162,1.8
49,プロシュート(Wサイズ),sidedish,appetizer,799,324,3.6
50,熟成ミラノサラミ,sidedish,appetizer,300,95,1.1
51,熟成ミラノサラミ(Wサイズ),sidedish,appetizer,599,190,2.2
52,マルゲリータピザ,meal,pizza,400,568,2.5
53,パンチェッタのピザ,meal,pizza,400,646,2.9
54,野菜ときのこのピザ,meal,pizza,400,610,2.7
55,やわらかイカのアンチョビのピザ,meal,pizza,500,593,4.6
56,バッファローモッツァレラのピザ,meal,pizza,500,575,2.3
57,ミラノサラミのピザ,meal,pizza,500,606,3.5
58,ほうれん草のグラタン(季節限定),meal,gratin,400,521,1.9
59,シーフードグラタン,meal,gratin,500,537,2.2
60,アラビアータ,meal,pasta,400,591,4.2
61,ミートソースボロニア風,meal,pasta,400,582,4.3
62,半熟卵のミートソースボロニア風,meal,pasta,469,672,4.5
63,アーリオ・オーリオ,meal,pasta,300,560,3.2
